id,name,description,financial,romantic,power,mysticism,agility
14,Soft Hydrangea,A ball of small blue flowers representing changing feelings.,Fluctuating assets. Adapt to changing trends to stay profitable.,Highly sensitive. Mood swings are common. Needs gentle comfort.,50,70,65
15,Edelweiss (Eternal Flower),A rare mountain flower that never fades.,Long-term survival. Your investments will survive any market crash.,Eternal love. Extremely loyal and rare. A treasure to find.,65,95,55
16,Gardenia,A sweet-scented white flower representing secret love.,Secret assets. Keep some savings hidden for emergency safety.,Secret crushes. Unexpressed feelings are deep. Speak your heart.,55,85,60
17,Blue Iris,A elegant flower representing wisdom and hope.,Wisdom brings hope. Good research leads to high financial gains.,Intellectual romance. You connect through deep conversations.,65,75,70
18,Sweet Violet,A tiny purple flower representing modesty and truth.,Modest savings grow. Small daily savings accumulate into wealth.,Honest and modest. A quiet protector who loves deeply.,50,80,75
19,Bright Zinnia,A colorful garden flower representing endurance.,Endurance pays off. You survive long dry periods in business.,Enduring friendship blooms into deep romantic commitment.,60,50,80
20,Amaryllis,A bold trumpet-shaped flower representing pride.,Bold pitches win deals. Stand proud and claim your promotion.,Bold and direct. You speak your heart and expect the same.,75,55,65
21,Sea Anemone Flower,A water-dwelling beauty representing adaptation.,Flexible income streams. You adjust to changing markets easily.,Highly adaptive. You swim with the flow of your partner's mood.,45,85,80
22,Alpine Aster,A starry purple flower representing patience.,Patience is key. Long term investments yield the highest returns.,Patient lover. You wait for the right moment to build trust.,50,75,75
23,Yellow Azalea,A bright bush flower representing caution.,Be cautious with money. Avoid fast get-rich-quick schemes.,Take things slow. Building trust takes time and caution.,55,60,70
24,Sweet Buttercup,A small shiny wildflower representing childish joy.,Joyful career. Do what you love and the money will follow.,Playful and cute. You bring inner child joy into dating.,50,45,90
25,Pink Camellia,A structured flower representing longing for someone.,Long-term goals. Keep your eyes on the main target.,Deep longing. You hold on to memories and distant crushes.,65,70,70
26,Four-Leaf Clover,A rare green plant representing extreme luck.,Extreme luck! Unexpected windfalls and winning deals are common.,A lucky catch. You bring good fortune and joy to your partner.,40,99,90
27,Cornflower,A bright blue wildflower representing simple hope.,Simple saving strategies work. Keep your banking simple.,Hopeful and optimistic. You believe in the best of people.,55,50,80
28,Yellow Daffodil,A trumpet flower representing new starts.,New beginnings. Time to launch that new business idea.,Fresh starts. Leave the past behind and open your heart.,60,55,75
29,Dandelion,A fluffy white seedhead that blows in the wind.,Free-floating assets. Easy come easy go. Learn to anchor cash.,Free spirit. You love freedom and hate being constrained.,40,70,95
30,Fuchsia,A dangling purple-pink flower representing grace.,Graceful operations. Your elegant approach wins key clients.,Elegant and charming. You attract people with your style.,60,65,80
31,Purple Heather,A wild heath flower representing protection.,Secure your assets. Insurance and safety nets protect you.,Protective partner. You shield your loved ones from harm.,60,60,70
32,Hollyhock,A tall garden flower representing ambition.,Sky-high ambition. You aim for top executive roles.,High expectations. You seek a partner who shares your goals.,70,50,65
33,Purple Hyacinth,A dense spike of flowers representing playfulness.,Playful investments. Small recreational trades are fine.,Fun dates! You love gaming and outdoor play with your partner.,50,55,85
34,Purple Lilac,A fragrant spring flower representing first love.,Your first business idea holds high potential. Revisit it.,First love vibes. Sweet, nostalgic, and innocent romance.,55,80,75
35,Morning Glory,A vine flower that blooms only in the morning.,Early bird profits. Morning productivity brings the cash.,Fresh morning vibes. You show your best self early in the day.,50,65,85
36,Nasturtium,A bright edible flower representing victory.,Victory in negotiations. You win disputes and secure bonuses.,Fiercely supportive. You fight for your partner's success.,65,50,80
37,Periwinkle,A clean blue flower representing tender memories.,Stable returns. Nostalgic assets bring steady small gains.,Tender memories. You cherish old dates and anniversary details.,55,70,75
38,Evening Primrose,A yellow flower that opens at night.,Night shift profits. Side gigs during evening hours pay off.,Nocturnal lover. Deepest talks happen after midnight.,50,80,70
39,Snapdragon,A flower resembling a dragon's mouth.,Fierce marketing. Your words sell products easily.,Playful bites. A lively partner who loves quick banter.,65,60,80
40,Snowdrop,A white flower blooming through winter snow.,Resilience pays off. You survive tough economic winters.,Hopeful warmth. You bring comfort during emotional winters.,55,75,70
41,Sweet Pea,A climbing fragrant flower representing departures.,Travel expenses. Mobile jobs bring the highest income streams.,Long distance relationships or frequent travel. Adaptable love.,55,60,85
42,Bluebell,A woodland flower representing humility.,Humble earnings. Avoid showing off to protect your assets.,Gentle and humble. You love quiet dates in natural spaces.,50,75,75
43,Verbena,A dense cluster of tiny flowers representing unity.,Teamwork pays. Collaborative projects yield peak returns.,Highly social. You connect families and friend groups together.,55,65,80
44,Wisteria,A cascading purple vine representing longevity.,Long-term investments. Build assets that pay over decades.,Deeply romantic. Cascading emotions. You love grand gestures.,70,80,65
45,Yarrow,A yellow cluster herb representing healing.,Healing services. Wellness and consulting bring wealth.,Healing presence. You help partners resolve emotional wounds.,50,70,70
46,Cursed Rose,A black rose radiating dark glowing energy.,High risk speculative assets. Trade carefully to avoid loss.,Intense but complicated. Boundaries are highly critical.,75,85,55
47,Jasmine Goreng (Fried),A humorous local plant combining sweet scent and fry batter.,Crispy cash flow. Funny side businesses bring unexpected cash.,Sweet and crispy. You are funny, pleasant, and easy to love.,50,50,85
48,Racing Sakura,A cherry blossom flower that falls at high speed.,Fast transactions. Quick earnings. Spend them fast too.,Fast-paced dating. Exciting starts but watch out for burnouts.,55,70,95
49,Heavy Tulip,A massive tulip made of solid iron.,Heavy assets. Safe gold and bonds protect your savings.,Solid and unshakeable. A very reliable but heavy partner.,80,30,40
50,Lucky Clover,A shiny green plant representing constant luck.,Lucky draws and unexpected bonuses. Money finds you easily.,A lucky match. You make your partner feel blessed every day.,40,95,85
51,Solar Sunflower,A glowing sunflower radiating warm sunbeams.,Renewable income. Continuous passive earnings are rising.,Warm and radiant. You light up the darkest moods of love.,70,75,80
52,Fresh Daisy,A crisp white daisy representing fresh morning dew.,Fresh starts in business. Clean up old debts to start fresh.,Fresh energy. You bring positive, uncomplicated vibes.,50,50,85
53,Exotic Orchid,A rare orchid radiating premium vibes.,High-end luxury sales. You target wealthy premium clients.,Elegant and high-maintenance. You deserve the best treatment.,65,85,65
54,Pure Lily,A spotless white lily representing peace.,Peaceful career. Safe, low-stress jobs keep you healthy.,Pure intentions. You build relationships on absolute trust.,50,85,65
55,Stinky Rafflesia,A parasitic giant flower radiating a heavy scent.,Unforgettable presence. You dominate business meetings.,Bold and unique. You stand out but give partners some space.,85,75,35
56,Rare Edelweiss,A pristine flower growing on top of high cliffs.,High-altitude targets. Hard to reach goals yield top cash.,Hard to get. You require effort to pursue but worth it.,65,95,50
57,Colorful Bougainvillea,A bright paper flower representing vibrant decorations.,Vibrant portfolios. Diverse minor income streams add up.,Colorful and fun. You love festive dates and group trips.,60,55,80
58,Dark Dahlia Mystic,A deep black dahlia radiating secret energy.,Stealthy wealth. You accumulate savings without telling anyone.,Secretive and mysterious. You share your heart slowly.,70,85,60
59,Sweet Peony Pink,A fluffy pink peony representing domestic joy.,Domestic prosperity. Family businesses yield great returns.,Very sweet and affectionate. You love hugs and sweet text messages.,60,65,70
60,Soft Hydrangea Blue,A round cluster of blue hydrangeas.,Changing market conditions. Keep your business flexible.,Tender and emotional. You feel everything deeply.,50,75,65
61,Yellow Chrysanthemum,A bright autumn flower representing optimism.,Optimistic trades. Positive attitude helps you close deals.,Bright and cheerful. You cheer up your partner easily.,60,50,80
62,Free Dandelion,A seedhead blowing freely across the hills.,Mobile lifestyle. Remote digital nomad jobs pay your bills.,Free spirited. You enjoy independent spaces in dating.,40,65,95
63,Red Hibiscus Solar,A red hibiscus radiating solar warmth.,Tropical business. Outdoor ventures bring the best returns.,Warm and tropical. Passionate connection with fun dates.,65,55,80
64,Purple Pansy,A velvety flower representing thoughtful reflection.,Thoughtful investing. Analyze details before spending cash.,Deeply thoughtful. You remember every small detail of dates.,50,70,75
65,Blue Iris Star,A starry blue iris representing wisdom.,Starry goals. Research and science fields bring wealth.,Wise and hopeful. You guide your partner during confusion.,65,80,70
66,Mystic Violet,A glowing purple violet hidden in the forest.,Hidden treasures. Small quiet investments grow silently.,Shy but deeply loving. You reveal your heart only to the one.,50,85,70
67,Bright Zinnia Neon,A neon-colored zinnia representing high endurance.,Endure tough markets. Sturdy operations survive crashes.,High endurance. You stick with your partner through hard times.,60,60,80
68,White Magnolia,A noble tree flower representing dignity.,Noble career. Integrity and clean records bring success.,Dignified love. You treat your partner with high respect.,70,70,60
69,Fragrant Gardenia,A white gardenia with intense fragrance.,Fragrant returns. Your good reputation brings clients.,Intensely romantic. You leave a lasting sweet impression.,55,80,60
70,Pink Begonia,A soft begonia representing deep thoughts.,Analytical roles. Auditing and checking details save money.,Deeply analytical. You evaluate relationship compatibility carefully.,50,65,75
71,Neon Petia,A glowing petunia representing modern style.,Modern digital tech assets. Crypto or software pays off.,Trendy and stylish. You love modern dates and cool spots.,55,75,80
72,Calla Lily Gold,A gold-rimmed calla lily representing beauty.,Premium beauty assets. Art and design fields pay well.,Graceful and beautiful. You value aesthetics in romance.,65,75,65
73,Anthurium Red,A heart-shaped red flower representing hospitality.,Customer hospitality. Service industries bring abundance.,Open-hearted and warm. You welcome partners with open arms.,60,50,75
74,King Protea,A massive prehistoric flower representing courage.,Courageous ventures. Starting your own business pays off.,Fiercely courageous. You protect your partner bravely.,80,70,60
75,Bird of Paradise,A bird-like orange flower representing freedom.,Travel and hospitality. Aviation or tourism brings wealth.,Exotic and adventurous. You love exploring new dates.,65,60,85
76,Alstroemeria,A striped lily representing friendship.,Cooperative business. Partnerships bring the best cash flows.,Friendship first. You build love on a strong friendly base.,50,60,80
77,Baby's Breath,A soft cloud of tiny white flowers.,Supportive services. Helping others brings you wealth.,Very gentle and soft. You support your partner silently.,40,75,70
78,Freesia,A fragrant flower representing trust.,Business based on trust. Clients stay loyal to you.,High trust. You are an open book and expect honesty.,55,80,75
79,Ranunculus,A multilayered bright flower representing charm.,Charming sales. Your charisma helps you close key deals.,Extremely charming. You win hearts with your sweet smile.,60,70,80
80,Delphinium,A tall spike of blue flowers representing infinity.,Infinite scaling. Software or digital products grow fast.,Infinite devotion. Your love knows no boundaries.,65,85,70
81,Gladiolus,A sword-shaped flower representing strength.,Strength in competition. You defeat rival businesses.,Strong and protective. You fight for your relationship.,75,50,70
82,Yellow Snapdragon,A bright dragon-shaped flower.,Lively marketing. Interactive projects make money.,Playful teasing. You keep romance alive with fun banter.,60,60,80
83,Statice,A dry-textured purple flower representing memory.,Memory assets. Archiving or history fields bring cash.,Long lasting memories. You hold onto sweet past moments.,50,65,75
84,Lisianthus,A rose-like flower representing appreciation.,Appreciation builds wealth. Thank your clients to keep them.,Highly appreciative. You make your partner feel valued.,55,70,75
85,Echinacea,A healing cone flower representing health.,Health and wellness. Medical or fitness fields bring cash.,Healing energy. You comfort your partner when they are down.,50,70,70
86,Dark Lavender,A deep purple lavender with intense scent.,Intense calming services. High value wellness pays off.,Deep calm. You are the peaceful anchor in a busy life.,50,90,70
87,Gold Rose,A rose made of pure gold leaf.,Solid precious metal assets. Safe investments protect you.,Precious love. You treat your relationship as a rare treasure.,85,60,50
88,Silver Jasmine,A silver-rimmed fragrant jasmine.,Prestigious reputation. Your clean name brings wealth.,Pure and noble love. High integrity in relationships.,60,85,60
89,Cosmic Lotus,A glowing lotus floating in a galaxy.,Galaxy-scale assets. Visionary ideas bring huge returns.,Out-of-this-world connection. Deep cosmic romance.,45,98,45
90,Flaming Hibiscus,A hibiscus surrounded by solar flames.,High energy sales. Active campaigns yield fast profits.,Hot and passionate. Tropical dates and intense romance.,65,60,80
91,Black Orchid,A rare black orchid radiating mystery.,Highly exclusive niche. Top-tier luxury pays off.,Mysterious and highly exclusive. Hard to win your heart.,70,90,60
92,Haunted Lavender,A pale lavender with ghostly glowing mist.,Occult assets. Hidden side jobs pay off unexpectedly.,Ghostly connection. You sense your partner's thoughts.,40,95,65
93,Racing Clover,A fast-growing lucky clover.,Fast luck! Sudden windfalls and fast opportunities.,Fast-moving fortune. You bring rapid joy to relationships.,40,90,95
94,Toxic Rafflesia,A glowing neon green rafflesia.,Hazardous returns. High risk high yield ventures pay off.,Toxic chemistry. High attraction but watch out for drama.,80,75,40
95,Aesthetic Peony,A pastel-colored peony looking picture perfect.,Social media assets. Design or influencer work pays well.,Picture-perfect romance. You love aesthetic date setups.,65,60,75
96,Metal Dandelion,A dandelion with steel seed needles.,Hardy assets. Rigid saving plans protect your money.,Tough exterior but light inside. Unshakeable loyalty.,65,50,75
97,Fire Lilac,A purple lilac glowing with solar heat.,Warm spring profits. Early ventures yield hot returns.,Nostalgic passion. Sweet memories mixed with warm sparks.,60,70,75
98,Wood Lotus,A lotus carved from sacred green wood.,Steady growth out of mud. Slow but reliable recovery.,Grounded spiritual connection. Long-term peaceful growth.,50,85,55
99,Thunder Orchid,An orchid that sparks with electricity.,Electric breakthroughs. Fast tech investments pay off.,Electric sparks! Very exciting but keep it stable.,65,85,80
